site_id,site_name,district,state,latitude,longitude,site_type,capacity_persons,capacity_used,data_confidence,source_notes
SITE-001,"ASDMA-directed safe shelters (statewide, 8 districts)",Cachar,Assam,24.82407,92.80062,Safe Site / Relief Shelter (directive stage),,0,LOW (unclear),"ASDMA directive via Northeast News / Webindia123 reporting, May 2025 | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
SITE-002,Illustrative shelter model (per landslide-prone district),Cachar,Assam,24.82407,92.80062,Safe Site / Relief Shelter (modeled),300.0,0,LOW (estimated),"Illustrative, consistent with ASDMA's directive stage described in AS007 | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
SITE-003,Belgaria Township,Dhanbad,Jharkhand,23.75759,86.46499,Safe Site / Relocation Colony,11000.0,0,HIGH,Real Belgaria village coordinates from OpenStreetMap/Mapcarta; rehabilitation township is in Belgaria.
SITE-004,Karmatand Rehabilitation Site,Dhanbad,Jharkhand,23.795663,86.430375,Safe Site / Relocation Colony,20040.0,0,HIGH,"Real Karmatand, Dhanbad coordinate from Karmatand BO locality data. The source confirms Karmatand Rehabilitation Site exists, but does not publish a separate facility GPS pin."
SITE-005,Udhwa Block Flood Shelter (model),Sahibganj,Jharkhand,25.244252,87.634814,Safe Site / Relief Shelter,300.0,0,LOW (estimated),"Illustrative - replace with Sahibganj DDMA's actual shelter list | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
SITE-006,Rajmahal Block Flood Shelter (model),Sahibganj,Jharkhand,25.244252,87.634814,Safe Site / Relief Shelter,300.0,0,LOW (estimated),"Illustrative - replace with Sahibganj DDMA's actual shelter list | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
SITE-007,Pakur District Flood Shelter (model),Pakur,Jharkhand,24.637906,87.855696,Safe Site / Relief Shelter,350.0,0,LOW (estimated),"Illustrative - replace with Pakur DDMA's actual shelter list | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
SITE-008,Godda District Flood Shelter (model),Godda,Jharkhand,24.827778,87.211388,Safe Site / Relief Shelter,300.0,0,LOW (estimated),"Illustrative - replace with Godda DDMA's actual shelter list | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
SITE-009,East Singhbhum District Flood Shelter (model),Purbi Singhbhum,Jharkhand,22.813211,86.168844,Safe Site / Relief Shelter,400.0,0,LOW (estimated),"Illustrative - replace with East Singhbhum DDMA's actual shelter list | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
SITE-010,West Singhbhum District Flood Shelter (model),Pashchimi Singhbhum,Jharkhand,22.550377,85.802489,Safe Site / Relief Shelter,350.0,0,LOW (estimated),"Illustrative - replace with West Singhbhum DDMA's actual shelter list | Approximate location, exact geocoding pending — district/state headquarters coordinate used because exact site location was not available."
